halt            00 00 00 b0           0000 0000    0000 0000    0000 0000    1011 0000

wake            01 00 00 90           0000 0001    0000 0000    0000 0000    1001 0000

sleep 0         00 00 00 92           0000 0000    0000 0000    0000 0000    1001 0010
sleep 1         01 00 00 92           0000 0001    0000 0000    0000 0000    1001 0010
sleep 2         02 00 00 92           0000 0010    0000 0000    0000 0000    1001 0010
sleep 3         03 00 00 92           0000 0011    0000 0000    0000 0000    1001 0010
sleep 4         04 00 00 92           0000 0100    0000 0000    0000 0000    1001 0010

wait 0x0000     00 00 00 40           0000 0000    0000 0000    0000 0000    0100 0000
wait 0x0001     01 00 00 40           0000 0001    0000 0000    0000 0000    0100 0000
wait 0x0002     02 00 00 40           0000 0010    0000 0000    0000 0000    0100 0000
wait 0x0004     04 00 00 40           0000 0100    0000 0000    0000 0000    0100 0000
wait 0x0008     08 00 00 40           0000 1000    0000 0000    0000 0000    0100 0000
wait 0x0010     10 00 00 40           0001 0000    0000 0000    0000 0000    0100 0000
wait 0x0020     20 00 00 40           0010 0000    0000 0000    0000 0000    0100 0000
wait 0x0040     40 00 00 40           0100 0000    0000 0000    0000 0000    0100 0000
wait 0x0080     80 00 00 40           1000 0000    0000 0000    0000 0000    0100 0000
wait 0x0100     00 01 00 40           0000 0000    0000 0001    0000 0000    0100 0000
wait 0x0200     00 02 00 40           0000 0000    0000 0010    0000 0000    0100 0000
wait 0x0400     00 04 00 40           0000 0000    0000 0100    0000 0000    0100 0000
wait 0x0800     00 08 00 40           0000 0000    0000 1000    0000 0000    0100 0000
wait 0x1000     00 10 00 40           0000 0000    0001 0000    0000 0000    0100 0000
wait 0x2000     00 20 00 40           0000 0000    0010 0000    0000 0000    0100 0000
wait 0x4000     00 40 00 40           0000 0000    0100 0000    0000 0000    0100 0000
wait 0x8000     00 80 00 40           0000 0000    1000 0000    0000 0000    0100 0000
wait 0xffff     ff ff 00 40           1111 1111    1111 1111    0000 0000    0100 0000
                                                                           
